exercise_name,muscle_slug,role
3/4 Sit-up,rectus_abdominis,primary
3/4 Sit-up,hip_flexors,secondary
3/4 Sit-up,erector_spinae,secondary
45° Side Bend,rectus_abdominis,primary
45° Side Bend,obliques,secondary
Air Bike,rectus_abdominis,primary
Air Bike,hip_flexors,secondary
All Fours Squad Stretch,quadriceps,primary
All Fours Squad Stretch,hamstrings,secondary
All Fours Squad Stretch,gluteus_maximus,secondary
Alternate Heel Touchers,rectus_abdominis,primary
Alternate Heel Touchers,obliques,secondary
Alternate Lateral Pulldown,latissimus_dorsi,primary
Alternate Lateral Pulldown,biceps_brachii,secondary
Alternate Lateral Pulldown,rhomboids,secondary
Ankle Circles,calves,primary
Archer Pull Up,latissimus_dorsi,primary
Archer Pull Up,biceps_brachii,secondary
Archer Pull Up,forearms,secondary
Archer Push Up,pectoralis_major,primary
Archer Push Up,triceps_brachii,secondary
Archer Push Up,anterior_deltoid,secondary
Archer Push Up,rectus_abdominis,secondary
Arm Slingers Hanging Bent Knee Legs,rectus_abdominis,primary
Arm Slingers Hanging Bent Knee Legs,posterior_deltoid,secondary
Arm Slingers Hanging Bent Knee Legs,latissimus_dorsi,secondary
Arm Slingers Hanging Straight Legs,rectus_abdominis,primary
Arm Slingers Hanging Straight Legs,lateral_deltoid,secondary
Arm Slingers Hanging Straight Legs,latissimus_dorsi,secondary
Arms Apart Circular Toe Touch (male),gluteus_maximus,primary
Arms Apart Circular Toe Touch (male),hamstrings,secondary
Arms Apart Circular Toe Touch (male),quadriceps,secondary
Arms Apart Circular Toe Touch (male),calves,secondary
Arms Overhead Full Sit-up (male),rectus_abdominis,primary
Arms Overhead Full Sit-up (male),hip_flexors,secondary
Arms Overhead Full Sit-up (male),erector_spinae,secondary
Assisted Chest Dip (kneeling),pectoralis_major,primary
Assisted Chest Dip (kneeling),triceps_brachii,secondary
Assisted Chest Dip (kneeling),anterior_deltoid,secondary
Assisted Hanging Knee Raise,rectus_abdominis,primary
Assisted Hanging Knee Raise,hip_flexors,secondary
Assisted Hanging Knee Raise With Throw Down,rectus_abdominis,primary
Assisted Hanging Knee Raise With Throw Down,hip_flexors,secondary
Assisted Hanging Knee Raise With Throw Down,erector_spinae,secondary
Assisted Lying Calves Stretch,calves,primary
Assisted Lying Calves Stretch,hamstrings,secondary
Assisted Lying Glutes Stretch,gluteus_maximus,primary
Assisted Lying Glutes Stretch,hamstrings,secondary
Assisted Lying Gluteus And Piriformis Stretch,gluteus_maximus,primary
Assisted Lying Gluteus And Piriformis Stretch,hamstrings,secondary
Assisted Lying Leg Raise With Lateral Throw Down,rectus_abdominis,primary
Assisted Lying Leg Raise With Lateral Throw Down,hip_flexors,secondary
Assisted Lying Leg Raise With Lateral Throw Down,obliques,secondary
Assisted Lying Leg Raise With Throw Down,rectus_abdominis,primary
Assisted Lying Leg Raise With Throw Down,hip_flexors,secondary
Assisted Lying Leg Raise With Throw Down,quadriceps,secondary
Assisted Motion Russian Twist,rectus_abdominis,primary
Assisted Motion Russian Twist,obliques,secondary
Assisted Motion Russian Twist,erector_spinae,secondary
Assisted Parallel Close Grip Pull-up,latissimus_dorsi,primary
Assisted Parallel Close Grip Pull-up,biceps_brachii,secondary
Assisted Parallel Close Grip Pull-up,forearms,secondary
Assisted Prone Hamstring,hamstrings,primary
Assisted Prone Hamstring,gluteus_maximus,secondary
Assisted Prone Hamstring,erector_spinae,secondary
Assisted Prone Lying Quads Stretch,quadriceps,primary
Assisted Prone Lying Quads Stretch,hamstrings,secondary
Assisted Prone Lying Quads Stretch,gluteus_maximus,secondary
Assisted Prone Rectus Femoris Stretch,rectus_abdominis,primary
Assisted Prone Rectus Femoris Stretch,quadriceps,secondary
Assisted Pull-up,latissimus_dorsi,primary
Assisted Pull-up,biceps_brachii,secondary
Assisted Pull-up,forearms,secondary
Assisted Seated Pectoralis Major Stretch With Stability Ball,pectoralis_major,primary
Assisted Seated Pectoralis Major Stretch With Stability Ball,lateral_deltoid,secondary
Assisted Seated Pectoralis Major Stretch With Stability Ball,triceps_brachii,secondary
Assisted Side Lying Adductor Stretch,adductors,primary
Assisted Side Lying Adductor Stretch,hamstrings,secondary
Assisted Side Lying Adductor Stretch,gluteus_maximus,secondary
Assisted Sit-up,rectus_abdominis,primary
Assisted Sit-up,hip_flexors,secondary
Assisted Standing Chin-up,latissimus_dorsi,primary
Assisted Standing Chin-up,biceps_brachii,secondary
Assisted Standing Chin-up,forearms,secondary
Assisted Standing Pull-up,latissimus_dorsi,primary
Assisted Standing Pull-up,biceps_brachii,secondary
Assisted Standing Pull-up,forearms,secondary
Assisted Standing Triceps Extension (with Towel),triceps_brachii,primary
Assisted Standing Triceps Extension (with Towel),lateral_deltoid,secondary
Assisted Triceps Dip (kneeling),triceps_brachii,primary
Assisted Triceps Dip (kneeling),pectoralis_major,secondary
Assisted Triceps Dip (kneeling),anterior_deltoid,secondary
Assisted Wide-grip Chest Dip (kneeling),pectoralis_major,primary
Assisted Wide-grip Chest Dip (kneeling),triceps_brachii,secondary
Assisted Wide-grip Chest Dip (kneeling),anterior_deltoid,secondary
Back Extension On Exercise Ball,erector_spinae,primary
Back Extension On Exercise Ball,gluteus_maximus,secondary
Back Extension On Exercise Ball,hamstrings,secondary
Back Lever,trapezius,primary
Back Lever,biceps_brachii,secondary
Back Lever,forearms,secondary
Back Lever,rectus_abdominis,secondary
Back Pec Stretch,latissimus_dorsi,primary
Back Pec Stretch,lateral_deltoid,secondary
Back Pec Stretch,pectoralis_major,secondary
Backward Jump,quadriceps,primary
Backward Jump,hamstrings,secondary
Backward Jump,gluteus_maximus,secondary
Backward Jump,calves,secondary
Balance Board,quadriceps,primary
Balance Board,calves,secondary
Balance Board,hamstrings,secondary
Balance Board,gluteus_maximus,secondary
Band Alternating Biceps Curl,biceps_brachii,primary
Band Alternating Biceps Curl,forearms,secondary
Band Alternating V-up,rectus_abdominis,primary
Band Alternating V-up,hip_flexors,secondary
Band Assisted Pull-up,latissimus_dorsi,primary
Band Assisted Pull-up,biceps_brachii,secondary
Band Assisted Pull-up,forearms,secondary
Band Assisted Wheel Rollerout,rectus_abdominis,primary
Band Assisted Wheel Rollerout,erector_spinae,secondary
Band Bench Press,pectoralis_major,primary
Band Bench Press,triceps_brachii,secondary
Band Bench Press,anterior_deltoid,secondary
Band Bent-over Hip Extension,gluteus_maximus,primary
Band Bent-over Hip Extension,hamstrings,secondary
Band Bent-over Hip Extension,erector_spinae,secondary
Band Bicycle Crunch,rectus_abdominis,primary
Band Bicycle Crunch,hip_flexors,secondary
Band Bicycle Crunch,obliques,secondary
Band Close-grip Pulldown,latissimus_dorsi,primary
