id,brand_id,name,name_en,category,sub_category,equipment_type,pulley_ratio,bar_weight,bar_weight_unit,has_weight_assist,min_stack,max_stack,stack_weight,stack_unit,image_url
b6bc5c86-ff02-48a0-a35c-9ee42172700f,5a83446f-440a-5e5a-8071-f62e6244cbe6,Iso-Lateral High Row,,back,upper_back,machine,1.0,,,false,0.0,120.0,"{""value"": 5.0}",kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/IL-HR-MIDBLK-Iso-Lateral-High-Row.jpg
4cfb1e70-3807-469a-8b56-072766c52ab4,5a83446f-440a-5e5a-8071-f62e6244cbe6,MTS Iso-Lateral High Row,,back,upper_back,machine,1.0,,,false,10.0,150.0,"{""value"": 10.0}",lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSHR-hero.png
ca6e2e7b-b2ee-4b0a-85fb-2ee516373357,5a83446f-440a-5e5a-8071-f62e6244cbe6,MTS Iso-Lateral Front Pulldown,,back,upper_back,machine,1.0,,,false,10.0,150.0,"{""value"": 10.0}",lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSFP-hero.png
00f1ee81-9b15-43b8-aa1e-f4497ce00ed9,5a83446f-440a-5e5a-8071-f62e6244cbe6,Hammer Strength Select Pulldown,,back,upper_back,machine,1.0,,,false,10.0,295.0,"{""value"": 15.0}",lb,https://shop.lifefitness.com/cdn/shop/files/outlet-hammer-strength-select-lat-pulldown-charcoal-black-1000x1000_1200x1200.jpg?v=1748945131
c0e9d8dd-ef31-449c-92a0-5f533132e578,5a83446f-440a-5e5a-8071-f62e6244cbe6,Iso-Lateral Wide Pulldown,,back,upper_back,machine,1.0,2.0,lb,false,0.0,120.0,"{""value"": 5.0}",kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr3gpMtnWzAnytxA-7_DgdWTIG6ebJru6S6Q&s
ae593cd8-56a9-4175-ac62-599358819a80,5a83446f-440a-5e5a-8071-f62e6244cbe6,MTS Iso-Lateral Row,,back,lower_back,machine,1.0,,,false,10.0,150.0,"{""value"": 10.0}",lb,https://shop.lifefitness.com/cdn/shop/files/hammer-strength-motion-technology-selectorizediso-lateral-rowbase-charcoal-black_1200x1200.jpg?v=1774898265
fde366f4-3d4a-434d-b9ea-953ac2450e3d,5a83446f-440a-5e5a-8071-f62e6244cbe6,Hammer Strength Select Seated Row,,back,lower_back,machine,1.0,,,false,10.0,295.0,"{""value"": 15.0}",lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-SeatedRow-01CPR-hero.png
1a4c5c46-b772-42eb-8d8f-d3193c870411,5a83446f-440a-5e5a-8071-f62e6244cbe6,T-Bar Row,,back,lower_back,machine,1.0,40.0,lb,false,0.0,175.0,"{""value"": 5.0}",kg,https://www.lifefitness.com/Kentico13CoreBase/media/LFMedia/LifeFitnessImages/Equipment/Strength/Plate-Loaded/T-Bar%20Row/Strength-PlateLoaded-TBarRow-Render-1.png?ext=.png
7c8d3d90-04b9-432b-ab25-22d706821801,5a83446f-440a-5e5a-8071-f62e6244cbe6,MTS Iso-Lateral Shoulder Press,,shoulders,front_delt,machine,1.0,,,false,10.0,150.0,"{""value"": 10.0}",lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSSP-hero.png
d45d8acd-a416-4170-9a2e-5e65c3a573ae,5a83446f-440a-5e5a-8071-f62e6244cbe6,Hammer Strength Select Shoulder Press,,shoulders,front_delt,machine,1.0,,,false,10.0,200.0,"{""pattern"": [{""from"": 1, ""to"": 5, ""value"": 10.0}, {""from"": 6, ""to"": 15, ""value"": 15.0}]}",lb,https://shop.lifefitness.com/cdn/shop/files/outlet-hammer-strength-select-shoulder-press-charcoal-black-1000x1000_1200x1200.jpg?v=1748945064
