id,brand_id,name,category,sub_category,equipment_type,pulley_ratio,bar_weight_kg,min_stack_kg,max_stack_kg,stack_weight_kg,image_url,updated_at
,,Iso-Lateral High Row,back,upper_back,machine,null,null,0kg,120kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/IL-HR-MIDBLK-Iso-Lateral-High-Row.jpg,
,,MTS Iso-Lateral High Row,back,upper_back,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSHR-hero.png,
,,MTS Iso-Lateral Front Pulldown,back,upper_back,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSFP-hero.png,
,,Hammer Strength Select Pulldown,back,upper_back,machine,1,null,10lb,295lb,15lb,https://shop.lifefitness.com/cdn/shop/files/outlet-hammer-strength-select-lat-pulldown-charcoal-black-1000x1000_1200x1200.jpg?v=1748945131,
,,Iso-Lateral Wide Pulldown,back,upper_back,machine,null,2lb,0kg,120kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr3gpMtnWzAnytxA-7_DgdWTIG6ebJru6S6Q&s,
,,MTS Iso-Lateral Row,back,lower_back,machine,1,null,10lb,150lb,10lb,https://shop.lifefitness.com/cdn/shop/files/hammer-strength-motion-technology-selectorizediso-lateral-rowbase-charcoal-black_1200x1200.jpg?v=1774898265,
,,Hammer Strength Select Seated Row,back,lower_back,machine,1,null,10lb,295lb,15lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-SeatedRow-01CPR-hero.png,
,,T-Bar Row,back,lower_back,machine,null,40lb,0kg,175kg,5kg,https://www.lifefitness.com/Kentico13CoreBase/media/LFMedia/LifeFitnessImages/Equipment/Strength/Plate-Loaded/T-Bar%20Row/Strength-PlateLoaded-TBarRow-Render-1.png?ext=.png,
,,MTS Iso-Lateral Shoulder Press,shoulders,front_delt,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSSP-hero.png,
,,Hammer Strength Select Shoulder Press,shoulders,front_delt,machine,1,null,10lb,200lb,"10lb*5, 15lb*10",https://shop.lifefitness.com/cdn/shop/files/outlet-hammer-strength-select-shoulder-press-charcoal-black-1000x1000_1200x1200.jpg?v=1748945064,
,,Plate Loaded Iso-Lateral Shoulder Press,shoulders,front_delt,machine,null,10lb,0kg,80kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2025/08/IL-SP-RED-CHR-BLK-2.png.webp,
,,Hammer Strength Select Lateral Raise,shoulders,side_delt,machine,2,null,10lb,200lb,"10lb*5, 15lb*10",https://www.lifefitness.com/Kentico13CoreBase/media/LFMedia/LifeFitnessImages/MediaSync/31-695-hammer-strength-select-lateral-raise-image.jpg?h=630&w=1200,
,,Plate Loaded Lateral Raise,shoulders,side_delt,machine,null,1lb,0kg,30kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmwCQnDliuC-oblLLEwcFmzHdJ1hG_W_zx_w&s,
,,Select Pectoral Fly/Rear Deltoid,shoulders,rear_delt,machine,null,null,10lb,295lb,15lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-PecFlyRearDelt-01CPL-hero.png,
,,Plate Loaded Super Fly,shoulders,rear_delt,machine,null,14lb,0kg,60kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdwizD9IgMRtj4qH7Ye8pRpecK3p1P8vIt-w&s,
,,MTS Iso-Lateral Incline Press,chest,upper_chest,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSIP-hero.png,
,,Plate Loaded Iso-Lateral Incline Press,chest,upper_chest,machine,null,8lb,0kg,100kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/IL-IP-MIDBLK-Iso-Lateral-Incline-Press-720x720.jpg.webp,
,,Plate Loaded Iso-Lateral Bench Press,chest,mid_chest,machine,null,7lb,0kg,100kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/IL-BP-MIDBLK-Iso-Lateral-Bench-Press.jpg,
,,MTS Iso-Lateral Chest Press,chest,mid_chest,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSCP-hero.png,
,,MTS Iso-Lateral Decline Press,chest,lower_chest,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSDP-hero.png,
,,Plate Loaded Seated Biceps,arms,biceps,machine,null,4lb,0kg,100kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/PL-BI-MIDBL-Seated-Biceps.jpg,
,,MTS Iso-Lateral Biceps Curl,arms,biceps,machine,1,null,10lb,100lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2025/05/Iso-Lateral-Biceps-Curl.jpg,
,,Hammer Strength Select Biceps Curl,arms,biceps,machine,1,null,10lb,200lb,"10lb*5, 15lb*10",https://shop.lifefitness.com/cdn/shop/files/hammer-strength-selectbiceps-curl-charcoal-black-1000x1000_1200x1200.jpg?v=1748945074,
,,MTS Iso-Lateral Triceps Extension,arms,triceps,machine,1,null,10lb,100lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSTE-hero.png,
,,Hammer Strength Select Triceps Extension,arms,triceps,machine,1,null,10lb,200lb,"10lb*5, 15lb*10",https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-TriExtension-01CPH-hero.png,
,,Hammer Strength Select Assist Dip / Chin,arms,triceps,machine,1,null,10lb,175lb,15lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-AsstDipChin-01CPR-hero.png,
,,Plate Loaded Seated Dip,arms,triceps,machine,null,3lb,0kg,100kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBWpw9hwNqXtc1tlPtLo07PtoGj2SFEaCXaw&s,
,,Plate Loaded Leg Press,legs,quads,machine,null,21lb,0kg,120kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2025/05/10-1536x1536.jpg.webp,
,,Plate Loaded Hack Squat,legs,quads,machine,null,125lb,0kg,160kg,5kg,https://shop.lifefitness.com/cdn/shop/files/plate-loaded-hammer-strength-hack-squat-black_1200x1200.jpg?v=1748945156,
,,Plate Loaded V-Squat,legs,quads,machine,null,54lb,0kg,120kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/PLVSQ-WG.jpg,
,,Hammer Strength Select Seated Leg Press,legs,quads,machine,null,null,10lb,390lb,20lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-LegPress-01CPL-hero-400x400.png,
,,Hammer Strength Select Leg Extension,legs,quads,machine,null,null,10lb,295lb,15lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/HSSelect-LegExtension-01CPH-hero.png,
,,MTS Iso-Lateral Leg Curl,legs,hamstrings,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSKC-hero.png,
,,Hammer Strength Select Leg Curl,legs,hamstrings,machine,null,null,10lb,200lb,"10lb*5, 15lb*10",https://shop.lifefitness.com/cdn/shop/files/outlet-hammer-strength-select-leg-curl-charcoal-black-1000x1000_1200x1200.jpg?v=1746125128,
,,Plate Loaded Iso-Lateral Leg Curl,legs,hamstrings,machine,null,2lb,0kg,30kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/IL-LC-CUSTOM.jpg,
,,Plate Loaded Assisted Nordic Ham,legs,hamstrings,machine,null,18lb,0kg,80kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzw5WOCP8UEG8NI4LpS-Y0E3YyuBUfdek9jQ&s,
,,MTS Abdominal Crunch,core,abs,machine,1,null,10lb,150lb,10lb,https://www.lifefitness.com.au/wp-content/uploads/2020/07/CS-HSMTS_MTSAB-hero.png,
,,Hammer Strength Select Abdominal Crunch,core,abs,machine,null,null,10lb,200lb,"10lb*5, 15lb*10",https://www.lifefitness.com.au/wp-content/uploads/2015/02/Abdominal-Crunch.jpg,
,,Plate Loaded Abdominal / Oblique Crunch,core,abs,machine,null,25lb,0kg,30kg,5kg,https://www.lifefitness.com.au/wp-content/uploads/2015/02/PL-AB-CUSTOM.jpg,
