id,brand_id,name,category,sub_category,equipment_type,pulley_ratio,bar_weight_kg,min_stack_kg,max_stack_kg,stack_weight_kg,image_url,updated_at
,,Torque Line Wide Pulldown Front,back,upper_back,machine,null,null,0kg,120kg,5kg,https://cdn.imweb.me/thumbnail/20240604/e340605775f8c.png,
,,Torque Line Wide Pulldown Rear,back,upper_back,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20241121/425aa3e3731ba.png?w=750,
,,Advance Lat Pulldown,back,upper_back,machine,2,null,5kg,125kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20241005/a185de1752b78.png?w=750,
,,Torque Line Front Row,back,upper_back,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/f14b562d56395.png?w=1920,
,,Torque Line Seated Row,back,lower_back,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/73e8ab4cc699b.png?w=1920,
,,Torque Line Low Row,back,lower_back,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/950078b9074c3.png?w=1920,
,,GHD 90�� Roman Chair,back,lower_back,machine,null,null,null,null,null,https://cdn-optimized.imweb.me/thumbnail/20240626/6961d356cc86b.png?w=750,
,,Torque Line Shoulder Press,shoulders,front_delt,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20241121/ac128c9f39f24.png?w=750,
,,Advance Shoulder Press,shoulders,front_delt,machine,2,null,5kg,125kg,5kg,https://cdn.imweb.me/thumbnail/20241005/d7807c4933046.png,
,,Side Lateral Raise,shoulders,side_delt,machine,1,null,5kg,100kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20240617/cef87581efb74.png?w=750,
,,Advance Pec Deck Fly (Reverse),shoulders,rear_delt,machine,2,null,5kg,100kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/3187d893538c7.png?w=1920,
,,Torque Line Incline Chest Press,chest,upper_chest,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20241223/86f8f1556274f.png?w=750,
,,Advance Incline Chest Press,chest,upper_chest,machine,2,null,5kg,100kg,5kg,https://cdn.imweb.me/thumbnail/20230607/e87c83733fc1e.png,
,,Torque Line Wide Chest Press,chest,mid_chest,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20240628/d852b1c7e8cd9.png?w=750,
,,Advance Seated Chest Press,chest,mid_chest,machine,2,null,5kg,100kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20230720/fa550808f1e55.png?w=750,
,,Pec Deck Fly,chest,mid_chest,machine,2,null,0kg,120kg,5kg,https://cdn.imweb.me/thumbnail/20250227/cae9d020a3231.png,
,,Torque Line Chest & Decline Combo,chest,lower_chest,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20231104/02e790ae82f67.png?w=750,
,,Plate Decline Chest Press,chest,lower_chest,machine,null,null,0kg,120kg,5kg,https://cdn.imweb.me/thumbnail/20240626/433451d3302e8.png,
,,Arm Curl,arms,biceps,machine,1,null,5kg,100kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/e17a42e266f75.png?w=1920,
,,Preacher Curl,arms,biceps,machine,null,7.5kg,0kg,100kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20240626/238370125d653.png?w=750,
,,Advance Seated Dip,arms,triceps,machine,1,null,5kg,100kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/0cebcf43f4d2c.png?w=1920,
,,Over Head Extension,arms,triceps,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/50f93dec07c95.png?w=1920,
,,Advance Power Leg Press,legs,quads,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20241121/f753231d59394.png?w=750,
,,Leg Extension,legs,quads,machine,2,null,5kg,125kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/11b75d83d3544.png?w=1920,
,,Hack Squat,legs,quads,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/684825218fff3.png?w=1920,
,,V-Squat,legs,quads,machine,null,null,0kg,120kg,5kg,https://sposportsmall.co.kr/web/product/big/202401/f287ccb309db321df1804e002b6c09cf.png,
,,Torque Line Kneeling Leg Curl,legs,hamstrings,machine,null,null,0kg,120kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/b9198460dbaa3.png?w=1920,
,,Lying Leg Curl,legs,hamstrings,machine,2,null,5kg,125kg,5kg,https://cdn-optimized.imweb.me/thumbnail/20240523/e756323f97a73.png?w=750,
,,Abdominal Crunch,core,abs,machine,1,null,5kg,75kg,5kg,https://cdn-optimized.imweb.me/upload/S20230404ba35399600d96/d8449d940dc57.png?w=1920,
