id,brand_id,name,category,sub_category,equipment_type,pulley_ratio,bar_weight_kg,min_stack_kg,max_stack_kg,stack_weight_kg,image_url,updated_at
,,Pullover Machine,back,upper_back,machine,null,null,5kg,100kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUkCi62gDO_iImFM-WvC8SvkOCMmgWrKlbng&s,
,,Lat Pulldown,back,upper_back,machine,1,null,5kg,100kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1B8lVq5Ep1ycCZfPLYVkaGJbJ2AjWhBB8Lg&s,
,,Lat Pulldown,back,upper_back,machine,1,null,5kg,80kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi3t_71Uu8lDLyeBOJciNV_eZbIgcDO9boaw&s,
,,High Row,back,upper_back,machine,null,null,0kg,270kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgzG9mEg_mBPeXnk0UpeHHaddChC2jyLLh4w&s,
,,Super lat pulldown circular,back,upper_back,machine,null,null,0kg,240kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjBABHJ5b71zhGG_dOp1cUJyedfdOWzjCCXQ&s,
,,Pulley Row,back,lower_back,machine,null,null,5kg,80kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjV8yo9wP3pSTRLT2Ch6bu7vc1t7GFA_VPdg&s,
,,Low Row,back,lower_back,machine,null,5kg,0kg,270kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkNpTzHzbCb_CmWeAEITHeMPz2CfBkcgpmJQ&s,
,,Adjustable back extension,back,lower_back,machine,null,null,null,null,null,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_gamG7GYYzT4i3BDELumXPTB-7rNJMt1WTw&s,
,,Multi Press,shoulders,front_delt,machine,1,null,5kg,80kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN34r8T9K6WtOfqYeKc3XdxgL4diKbTKq1yQ&s,
,,Lateral deltoids,shoulders,side_delt,machine,null,null,0kg,220kg,5kg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZGcBNS2jTOXful9wigpIxHyPQSbYVaM4V7Q&s,
