exercise_name,equipment_id,source,confidence
Alternate Lateral Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Alternate Lateral Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Assisted Standing Triceps Extension (with Towel),e6a22037-ad56-4e23-b10f-1d718a443276,seed,0.9
Assisted Standing Triceps Extension (with Towel),cf32e0d1-1d00-4014-9ad0-acf6b20b90a7,seed,0.9
Assisted Standing Triceps Extension (with Towel),6d981d81-6667-44bc-a240-dfd64f62134b,seed,0.9
Assisted Triceps Dip (kneeling),8b92bac4-98be-4277-bae3-e45b39629d22,seed,0.9
Assisted Triceps Dip (kneeling),2ca108c5-6153-5b7b-9b22-530ef902178c,seed,0.9
Assisted Triceps Dip (kneeling),91dd2f21-b791-4ea8-8305-01482d045eaa,seed,0.9
Assisted Triceps Dip (kneeling),b6f855d3-27cf-41cb-9696-fbacc05c8529,seed,0.9
Cable Alternate Shoulder Press,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Alternate Shoulder Press,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Alternate Triceps Extension,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Alternate Triceps Extension,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Bar Lateral Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Bar Lateral Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Bench Press,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Bench Press,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Concentration Extension (on Knee),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Concentration Extension (on Knee),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Cross-over Lateral Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Cross-over Lateral Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Cross-over Reverse Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
