hip_flexors | 고관절굴근 | legs
latissimus_dorsi | 광배근 | back
rhomboids | 능형근 | back
gluteus_maximus | 대둔근 | legs
quadriceps | 대퇴사두근 | legs
pectoralis_major | 대흉근 | chest
obliques | 복사근 | core
rectus_abdominis | 복직근 | core
triceps_brachii | 삼두근 | arms
pectoralis_minor | 소흉근 | chest
trapezius | 승모근 | back
transverse_abdominis | 심부 복근 | core
biceps_brachii | 이두근 | arms
anterior_deltoid | 전면 삼각근 | shoulders
forearms | 전완근 | arms
calves | 종아리 | legs
gluteus_medius | 중둔근 | legs
erector_spinae | 척추기립근 | back
lateral_deltoid | 측면 삼각근 | shoulders
hamstrings | 햄스트링 | legs
posterior_deltoid | 후면 삼각근 | shoulders
